x,y,z
-0.187,-0.104,9.947
-0.149,-0.058,9.944
-0.154,-0.063,9.932
-0.168,-0.078,9.939
-0.17,-0.061,9.92
-0.13,-0.035,9.939
-0.173,-0.073,9.973
-0.149,-0.035,9.93
-0.134,-0.073,9.947
-0.149,-0.094,9.935
-0.146,-0.068,9.93
-0.17,-0.114,9.894
-0.204,-0.046,9.98
-0.168,-0.082,9.987
-0.197,-0.039,9.889
-0.163,-0.092,9.93
-0.151,-0.08,9.971
-0.137,-0.063,9.937
-0.146,-0.085,9.949
-0.213,-0.066,9.971
-0.178,-0.078,9.925
-0.13,-0.058,9.944
-0.197,-0.073,9.951
-0.192,-0.068,9.959
-0.166,-0.061,9.939
-0.166,-0.092,9.937
-0.149,-0.08,9.959
-0.154,-0.046,9.904
-0.175,-0.085,9.901
-0.149,-0.078,9.963
-0.18,-0.082,9.928
-0.163,-0.051,9.92
-0.151,-0.042,9.954
-0.202,-0.08,9.954
-0.156,-0.082,9.939
-0.146,-0.061,9.925
-0.178,-0.037,9.951
-0.127,-0.085,9.932
-0.166,-0.039,9.944
-0.168,-0.054,9.961
-0.158,-0.085,9.932
-0.142,-0.013,9.928
-0.144,-0.037,9.947
-0.173,-0.08,9.987
-0.144,-0.042,9.939
-0.156,-0.058,9.923
-0.142,-0.082,9.985
-0.144,-0.066,9.959
-0.166,-0.097,9.956
-0.182,-0.097,9.992
-0.132,-0.075,9.987
-0.182,-0.049,9.942
-0.168,-0.104,9.901
-0.137,-0.054,9.99
-0.19,-0.042,9.928
-0.156,-0.078,9.928
-0.146,-0.09,9.956
-0.139,-0.066,9.954
-0.134,-0.085,9.973
-0.175,-0.042,9.971
-0.166,-0.042,9.966
-0.151,-0.082,9.942
-0.185,-0.085,9.93
-0.168,-0.085,9.942
-0.156,-0.066,9.949
-0.158,-0.082,9.937
-0.185,-0.078,9.956
-0.19,-0.03,9.959
-0.168,-0.102,9.925
-0.192,-0.099,9.951
-0.154,-0.082,9.963
-0.139,-0.085,9.995
-0.173,-0.046,9.956
-0.144,-0.082,9.98
-0.139,-0.085,9.959
-0.158,-0.121,9.944
-0.199,-0.07,9.928
-0.134,-0.09,9.973
-0.144,-0.068,9.928
-0.161,-0.063,9.954
-0.156,-0.087,9.935
-0.134,-0.063,9.923
-0.127,-0.046,9.98
-0.156,-0.066,9.973
-0.139,-0.066,9.93
-0.118,-0.063,9.951
-0.192,-0.051,9.944
-0.137,-0.049,9.975
-0.154,-0.08,9.935
-0.134,-0.063,9.949
-0.158,-0.066,9.956
-0.194,-0.061,9.923
-0.144,-0.075,9.918
-0.194,-0.051,9.947
-0.149,-0.039,9.925
-0.139,-0.068,9.954
-0.161,-0.066,9.978
-0.17,-0.078,9.983
-0.158,-0.063,9.983
-0.185,-0.085,9.93
-0.149,-0.092,9.925
-0.12,-0.044,9.935
-0.166,-0.121,9.942
-0.182,-0.066,9.968
-0.185,-0.068,9.954
-0.19,-0.02,9.93
-0.182,-0.054,9.956
-0.175,-0.068,9.932
-0.17,-0.09,9.961
-0.139,-0.097,9.906
-0.185,-0.054,9.98
-0.178,-0.054,9.951
-0.154,-0.075,9.935
-0.19,-0.061,9.942
-0.146,-0.09,9.968
-0.094,-0.042,9.939
-0.168,-0.082,9.93
-0.142,-0.09,9.949
-0.173,-0.073,9.951
-0.178,-0.07,9.951
-0.163,-0.08,9.956
-0.175,-0.056,9.954
-0.144,-0.07,9.935
-0.18,-0.063,9.923
-0.127,-0.09,9.975
-0.173,-0.061,9.963
-0.139,-0.078,9.92
-0.204,-0.061,9.98
-0.154,-0.075,9.949
-0.149,-0.051,9.932
-0.161,-0.07,9.954
-0.194,-0.063,9.951
-0.175,-0.068,9.947
-0.132,-0.106,9.928
-0.173,-0.02,10.004
-0.173,-0.078,9.959
-0.154,-0.066,9.985
-0.127,-0.078,9.963
-0.163,-0.073,9.975
-0.166,-0.07,9.956
-0.192,-0.082,9.99
-0.18,-0.063,9.995
-0.149,-0.087,9.968
-0.144,-0.039,9.949
-0.163,-0.063,9.987
-0.182,-0.066,9.956
-0.13,-0.085,9.947
-0.192,-0.054,9.983
-0.149,-0.001,9.968
-0.17,-0.046,9.951
-0.158,-0.061,9.954
-0.206,-0.109,9.92
-0.156,-0.094,9.963
-0.144,-0.073,9.918
-0.178,-0.039,9.968
-0.19,-0.042,9.959
-0.168,-0.068,9.928
-0.166,-0.068,9.978
-0.178,-0.097,10.021
-0.134,-0.087,9.935
-0.17,-0.063,9.942
-0.17,-0.054,9.93
-0.142,-0.099,9.942
-0.103,-0.066,9.985
-0.151,-0.066,9.999
-0.111,-0.046,9.963
-0.139,-0.063,9.916
-0.178,-0.061,9.939
-0.178,-0.058,9.954
-0.168,-0.07,9.968
-0.12,-0.09,9.916
-0.156,-0.085,9.959
-0.132,-0.063,9.966
-0.197,-0.087,9.939
-0.178,-0.092,9.985
-0.161,-0.044,9.98
-0.185,-0.073,9.951
-0.187,-0.056,9.961
-0.166,-0.085,9.973
-0.158,-0.073,9.935
-0.19,-0.063,9.939
-0.192,-0.078,9.999
-0.123,-0.063,9.963
-0.17,-0.042,9.937
-0.192,-0.061,9.954
-0.192,-0.087,9.978
-0.166,-0.07,9.959
-0.12,-0.025,9.901
-0.18,-0.099,9.947
-0.161,-0.051,9.997
-0.137,-0.056,9.923
-0.137,-0.073,9.966
-0.115,-0.049,9.959
-0.192,-0.08,9.961
-0.154,-0.066,9.928
-0.175,-0.063,10.004
-0.149,-0.051,9.975
-0.185,-0.104,9.949
-0.161,-0.066,9.947
-0.13,-0.035,9.975
-0.115,-0.068,9.947
-0.173,-0.109,9.935
-0.156,-0.085,9.975
-0.213,-0.085,9.918
-0.156,-0.078,9.928
-0.149,-0.039,9.975
-0.113,-0.087,9.93
-0.192,-0.085,9.954
-0.154,-0.075,9.983
-0.173,-0.08,9.944
-0.123,-0.085,9.908
-0.173,-0.073,9.951
-0.156,-0.087,9.947
-0.151,-0.13,9.947
-0.185,-0.056,9.985
-0.12,-0.08,9.961
-0.173,-0.063,9.942
-0.156,-0.058,9.949
-0.175,-0.094,9.925
-0.13,-0.056,9.947
-0.197,-0.07,9.963
-0.161,-0.078,9.978
-0.161,-0.056,9.987
-0.149,-0.042,9.995
-0.187,-0.07,9.939
-0.139,-0.087,9.942
-0.221,-0.085,9.932
-0.194,-0.082,9.935
-0.18,-0.054,9.956
-0.182,-0.063,9.949
-0.178,-0.054,9.966
-0.151,-0.09,9.916
-0.13,-0.099,10.002
-0.158,-0.068,9.961
-0.146,-0.075,9.916
-0.142,-0.039,9.978
-0.211,-0.023,9.961
-0.168,-0.056,9.954
-0.185,-0.08,9.963
-0.209,-0.09,9.992
-0.154,-0.02,9.98
-0.168,-0.075,9.942
-0.173,-0.07,9.992
-0.18,-0.073,9.942
-0.178,-0.08,9.918
-0.146,-0.097,9.942
-0.139,-0.08,9.968
-0.154,-0.042,9.978
-0.13,-0.109,9.959
-0.178,-0.054,9.985
-0.154,-0.102,9.959
-0.175,-0.049,9.942
-0.154,-0.07,9.987
-0.197,-0.068,9.968
-0.173,-0.061,9.937
-0.17,-0.013,9.983
-0.154,-0.051,10.004
-0.146,-0.085,9.939
-0.168,-0.068,9.928
-0.19,-0.049,9.963
-0.12,-0.056,9.971
-0.187,-0.044,9.932
-0.166,-0.066,9.942
-0.17,-0.046,9.975
-0.168,-0.056,9.949
-0.151,-0.063,9.949
-0.161,-0.118,9.978
-0.146,-0.066,9.968
-0.185,-0.085,9.944
